id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.310 0.209 0.0929655 168.7 0.0600 0.0297 0.0049
1.300 0.210 0.0938511 191.0 -0.0454 0.0295 0.0060
1.295 0.212 0.0933695 213.3 -0.0466 0.0307 0.0096
1.297 0.213 0.0921924 236.3 -0.0805 0.0316 0.0098
1.293 0.213 0.0926982 258.9 -0.2270 0.0294 0.0204
1.299 0.213 0.0927042 281.7 -0.1552 0.0285 0.0118
1.301 0.211 0.0929055 304.5 -0.1666 0.0249 0.0065
1.312 0.208 0.093474 326.7 -0.1207 0.0204 0.0086
1.312 0.204 0.0942023 349.4 -0.0659 0.0174 0.0061
1.308 0.192 0.0567479 11.1 0.0458 0.0253 0.0066
1.308 0.192 0.056642 33.6 0.1106 0.0270 0.0045
1.302 0.193 0.0564532 55.8 0.2117 0.0280 0.0114
1.295 0.194 0.0567129 78.4 0.2103 0.0318 0.0136
1.297 0.195 0.0565144 101.0 0.1966 0.0334 0.0100
1.298 0.196 0.0562053 123.2 0.1471 0.0357 0.0066
1.296 0.196 0.0559047 145.9 -0.0345 0.0381 0.0038
1.290 0.196 0.0561242 168.8 0.0084 0.0374 0.0122
1.291 0.195 0.0556952 190.9 -0.0660 0.0372 0.0142
1.287 0.198 0.0557293 213.5 -0.0710 0.0376 0.0173
1.297 0.197 0.0555049 236.4 -0.1019 0.0377 0.0088
1.293 0.198 0.0565325 259.1 -0.2379 0.0371 0.0189
1.287 0.196 0.055776 281.3 -0.2369 0.0407 0.0081
1.293 0.195 0.0559155 304.0 -0.1997 0.0316 0.0071
1.299 0.194 0.0563715 326.5 -0.1404 0.0288 0.0083
1.307 0.193 0.0564553 349.2 -0.0657 0.0256 0.0066
1.303 0.178 0.0348949 10.5 0.0017 0.0884 0.0080
1.301 0.178 0.03496 55.8 0.1690 0.0838 0.0263
1.302 0.178 0.0348817 102.0 0.2688 0.0985 0.0464
1.286 0.178 0.0348725 123.3 0.0784 0.0998 0.0119
1.312 0.178 0.0348737 147.3 0.0045 0.0995 0.0078
1.293 0.179 0.0349513 169.0 0.0763 0.0965 0.0604
1.289 0.178 0.0349276 190.1 0.1338 0.1040 0.0122
1.313 0.179 0.0350033 214.0 -0.1913 0.0995 0.0391
1.298 0.178 0.0347838 236.9 -0.3197 0.0880 0.0324
1.273 0.178 0.0349444 258.8 -0.1879 0.0938 0.0177
1.255 0.179 0.0349445 281.7 -0.2109 0.0896 0.0163
1.294 0.178 0.0350009 325.9 -0.1744 0.1056 0.0142
1.297 0.177 0.0349604 349.4 -0.1268 0.0753 0.0250
1.448 0.295 0.57883 9.4 0.0304 0.0302 0.0148
