id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.979 0.133 0.0295918 304.9 -0.1096 0.0162 0.003
1.968 0.133 0.0303572 326.7 -0.0695 0.0133 0.0028
1.963 0.133 0.0305374 349 -0.0394 0.0119 0.0025
1.979 0.207 0.09453 11.2 0.0227 0.0133 0.0066
1.989 0.207 0.0942064 33.6 0.1544 0.0136 0.0063
2.01 0.206 0.0939585 55.9 0.204 0.0149 0.0086
2.02 0.205 0.0932732 78.4 0.2332 0.0161 0.0079
2.023 0.205 0.0935111 101.1 0.2811 0.0178 0.0095
2.027 0.205 0.0938084 123.6 0.2175 0.0192 0.0077
2.026 0.204 0.0935593 145.9 0.1628 0.0204 0.0103
2.023 0.205 0.0935274 168.6 0.0378 0.0211 0.007
2.017 0.206 0.0934565 190.9 -0.0672 0.0222 0.0051
2.018 0.208 0.0929453 213.3 -0.1562 0.0235 0.009
2.017 0.209 0.0925076 236.3 -0.1951 0.0243 0.0105
2.011 0.212 0.092216 258.4 -0.263 0.0244 0.0109
2.003 0.213 0.0916193 281.6 -0.2501 0.0239 0.0085
1.992 0.213 0.0921409 304.3 -0.2461 0.0209 0.0135
1.994 0.211 0.0927243 327.3 -0.1668 0.0174 0.0069
1.99 0.208 0.0940506 349.3 -0.0751 0.0143 0.0034
1.993 0.192 0.0565219 11.2 0.0545 0.0202 0.0046
1.989 0.191 0.056434 33.8 0.1374 0.0204 0.0045
2 0.191 0.0561501 56.1 0.1765 0.0212 0.0058
2.014 0.191 0.0561275 78.3 0.2426 0.0218 0.0086
2.014 0.192 0.0560826 101.1 0.2448 0.024 0.0109
2.022 0.192 0.0559537 123.6 0.1825 0.0255 0.0078
2.023 0.191 0.055646 146.2 0.1407 0.0264 0.0053
2.03 0.192 0.0560378 168.6 0.0268 0.0283 0.0082
2.021 0.193 0.0558869 191.2 -0.1111 0.0289 0.0112
2.015 0.192 0.055624 213.7 -0.1007 0.0297 0.0047
2.015 0.193 0.0555382 236.4 -0.2235 0.0295 0.0069
2.012 0.193 0.0555242 258.9 -0.2022 0.0289 0.0071
2.011 0.194 0.0556362 281.6 -0.2504 0.0277 0.0096
2.007 0.194 0.0556525 304 -0.1864 0.0251 0.0076
1.999 0.192 0.0561139 326.6 -0.1555 0.0232 0.0062
1.994 0.192 0.0562724 349 -0.025 0.0209 0.0032
1.991 0.178 0.0350002 10.6 0.0789 0.0648 0.0142
1.985 0.177 0.035 33.7 0.1308 0.0717 0.0096
1.96 0.177 0.0350003 56.1 0.1095 0.0705 0.0109
1.976 0.177 0.0349615 78.6 0.1275 0.0731 0.0127
1.996 0.177 0.0350005 100.8 0.1426 0.0759 0.01
1.996 0.178 0.035 123.2 0.2452 0.075 0.0172
2.005 0.178 0.035 146.1 0.2312 0.0811 0.0125
2.001 0.178 0.035 168.7 -0.0379 0.0827 0.0084
